,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
130,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301108938/,Москва,sale,flat,25,34,3,135.0,-1,0,85000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
131,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301628722/,Москва,sale,flat,18,22,3,116.2,-1,0,74990000,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
132,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296195763/,Москва,sale,flat,15,44,3,117.0,-1,0,101000000,Раменки,Минская ,2,Минская,Долина Сетунь
133,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/294907870/,Москва,sale,flat,2,7,3,151.3,-1,0,300000000,Хамовники, Плющиха,37,Киевская,Клубный дом Bunin
134,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/296403266/,Москва,sale,flat,2,4,3,62.0,-1,0,24300000,Марьина роща,проезд 12-й Марьиной рощи,8С2,Марьина Роща,Лофт-квартал Studio #12
135,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/293982392/,Москва,sale,flat,3,5,3,164.0,-1,0,202012579,Хамовники, Бурденко,3,Парк Культуры,Дом на Бурденко
136,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/295729701/,Москва,sale,flat,3,19,3,88.4,-1,0,42000000,Красносельский,переулок Докучаев,2с3,Площадь трёх вокзалов,Волга
137,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300871845/,Москва,sale,flat,3,15,3,95.0,-1,0,35000000,Пресненский,Зоологическая ,30С2,Баррикадная,
138,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520901/,Москва,sale,flat,67,79,3,146.0,-1,0,160000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
139,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/293100672/,Москва,sale,flat,2,5,3,207.4,-1,0,459119499,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas
140,ID 116161857,homeowner,https://www.cian.ru/sale/flat/301615981/,Москва,sale,flat,1,9,3,83.0,-1,0,17900000,Марьино,Перервинский бульвар,22К3,Братиславская,
141,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/283967307/,Москва,sale,flat,9,12,3,101.1,-1,0,75000000,Раменки,проспект Генерала Дорохова,39к1Д,Минская,Собрание клубных домов West Garden
142,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/300539688/,Москва,sale,flat,59,79,3,113.0,-1,0,83000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
143,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/297363663/,Москва,sale,flat,1,5,3,53.0,-1,0,13800000,Академический,проспект 60-летия Октября,14,Академическая,
144,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297725946/,Москва,sale,flat,29,53,3,191.5,-1,0,229559749,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
145,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296709454/,Москва,sale,flat,22,47,3,130.0,-1,0,100000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
146,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300005995/,Москва,sale,flat,6,9,3,76.5,-1,0,41500000,Донской,Ленинский проспект,12,Шаболовская,
147,Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300022362/,Москва,sale,flat,2,9,3,118.0,-1,0,215000000,Хамовники,Малая Пироговская ,12,Спортивная,
